ComponentEventTemplate	Label	Count
MDT %RPM0-S : CP %SEC-5-LOGIN_SUCCESS : Login successful for user admin on line console	-	1
kernel MOSAL(1) : file_pgoff = 0xcebb	-	1
kernel panfs exception : at cap.c : <*> , 0x36ce (fmm : invalid write id) , rollback : <*>	-	56
postfix/cleanup 7F926AC4078 : message-id = <20060527035517.7F926AC4078@tbird-#2124#>	-	1
insmod Module <*> loaded , with warnings	-	3
kernel MOSAL(1) : file_pgoff = 0x1f195	-	1
kernel MOSAL(1) : file_pgoff = 0x2d638	-	8
dhcpd Copyright <*> Internet Systems Consortium.	-	457
kernel MOSAL(1) : file_pgoff = 0xdecf	-	2
kernel MOSAL(1) : file_pgoff = 0x1190d	-	1
kernel MOSAL(1) : file_pgoff = 0x2d38e	-	1
Node 0 Normal 372*4kB 75*8kB 45*16kB 12*32kB 4*64kB 1*128kB 0*256kB 0*512kB 0*1024kB 0*2048kB 0*4096kB = 3576kB	-	1
postfix/cleanup 5E2C4F20133 : message-id = <20060514103025.5E2C4F20133@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x11277	-	1
kernel MOSAL(1) : file_pgoff = 0x2d4b2	-	14
kernel MOSAL(1) : file_pgoff = 0x9e74	-	1
kernel fs_client_writepage : llapi_io_sync failed (0x1a30 (fs client : Interrupted system call)) ; data #15# be dropped	-	7
kernel MOSAL(1) : file_pgoff = 0xdddf	-	3
kernel MOSAL(1) : file_pgoff = 0x1caf4	-	1
postfix Shutting down postfix :	-	1771
postfix/cleanup B5D76F200A9 : message-id = <20060422165502.B5D76F200A9@#56#.#207#>	-	1
kernel <*> reserved ffffffffa04e1420>{ : panfs : pan_rm_bindcache_refresher__got_pres+0}	-	1
postfix/cleanup 55A28F200A2 : message-id = <20060708214749.55A28F200A2@#56#.#207#>	-	1
kernel <ffffffff8013f56b>{process_timeout+0} <ffffffff8013f69e>{sys_nanosleep+192}	-	2
logger Kickstart Install : Torque Mom and Maui speconf Tree	-	408
postfix/cleanup 5964CF200A2 : message-id = <20060628233255.5964CF200A2@#56#.#207#>	-	1
kernel <*> pag <*> , batch <*>	-	1
kernel MOSAL(1) : file_pgoff = 0xc7d7	-	24
postfix/cleanup 01F45518BCC : message-id = <20051112164509.01F45518BCC@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1cc4d	-	1
postfix/cleanup B2114518FA5 : message-id = <20051113181506.B2114518FA5@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x11a99	-	1
postfix/cleanup B97A1F20085 : message-id = <20060706013746.B97A1F20085@#56#.#207#>	-	1
kernel rpciod S 00000101bccd5f08 <*> <*> <*> <*> <*> (L-TLB)	-	1
kernel MOSAL(1) : file_pgoff = 0x8222	-	2
kernel MOSAL(1) : file_pgoff = 0x17c65	-	1
postfix/cleanup 9C65251841A : message-id = <20051111074509.9C65251841A@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1308c	-	1
postfix/cleanup E5827518A3C : message-id = <20060228000229.E5827518A3C@tbird-#206#>	-	1
postfix/cleanup 1C75C51824B : message-id = <20060208163631.1C75C51824B@tbird-#206#>	-	1
postfix/cleanup 4D1F7F2012E : message-id = <20060619172253.4D1F7F2012E@#56#.#207#>	-	1
crond (root) CMD (/home/#57#/fans/new/getFans-B2.sh)	-	2
postfix/cleanup 9AD19F200A9 : message-id = <20060416223402.9AD19F200A9@#56#.#207#>	-	1
postfix/cleanup 5EA40AC4097 : message-id = <20060510153101.5EA40AC4097@tbird-#2124#>	-	1
ib_sm [ib_sm_discovery.c : 1050] : _ib_smDiscoverPort(port = 11)	-	34
postfix/cleanup BD436AC407A : message-id = <20060508194047.BD436AC407A@tbird-#2124#>	-	1
postfix/cleanup 24B96F200A7 : message-id = <20060413220103.24B96F200A7@#56#.#207#>	-	1
postfix/cleanup 9775C5181A7 : message-id = <20051110224513.9775C5181A7@tbird-#206#>	-	1
postfix/cleanup 7236151817E : message-id = <20051110212000.7236151817E@tbird-#206#>	-	1
postfix/cleanup 3841315DC44 : message-id = <20060422100238.3234C15DD74@#2408#>	-	1
postfix/cleanup AB1EBF200A5 : message-id = <20060421143103.AB1EBF200A5@#56#.#207#>	-	1
postfix/cleanup 1AA7E337E1 : message-id = <20060615025356.1AA7E337E1@tbird-#2402#>	-	1
mount mount.panfs warning : mount still trying to ping realm. Mount has been trying to ping for <*> seconds and may try for another <*> seconds	-	126
kernel <ffffffff8030354c>{schedule_timeout+101} <ffffffff80134626>{add_wait_queue+18}	-	1
kernel MOSAL(1) : file_pgoff = 0x100f0	-	14
kernel MOSAL(1) : file_pgoff = 0x11a32	-	2
ib_sm <*> : <*> : Failed to discover port - GUID = <*> : <*> : ad : <*> : <*> : <*> : <*> : <*> , port = <*>	-	25
kernel MOSAL(1) : file_pgoff = 0x1c4c9	-	2
postfix/cleanup 7C21FF200E0 : message-id = <20060506120005.7C21FF200E0@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x14c7f	-	17
BIOS-e820 <*> <*> <*> <*>	-	6
kernel MOSAL(1) : file_pgoff = 0x143f3	-	1
postfix/cleanup 59AF6F2009C : message-id = <20060627133758.59AF6F2009C@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x7e2b	-	1
kernel MOSAL(1) : file_pgoff = 0x4ed5	-	23
ACPI <*> <*> PCI interrupt <*> : <*> : <*> -> GSI <*> (level , low) -> IRQ <*>	-	67
/usr/sbin/gmetad data_thread() got not answer from any [ <*> <*> datasource	-	25677
kernel VIPKL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0prev = <*>	-	1
kernel MOSAL(1) : file_pgoff = 0xace4	-	4
kernel <ffffffff802d6158>{tcp_write_xmit+132} <ffffffff802d710f>{tcp_send_fin+522}	-	1
kernel Lustre : <*> : <*> : (linux-debug.c : <*> : libcfs_run_upcall()) Invoked LNET upcall /usr/lib/lustre/lnet_upcall ROUTER_NOTIFY , <*> @tcp , down , <*>	-	6
kernel <ffffffff80188835>{__pollwait+0} <ffffffff8019d238>{compat_sys_select+964}	-	1
kernel MOSAL(1) : file_pgoff = 0x16de5	-	43
postfix/cleanup 4A7F151805A : message-id = <20051109214635.4A7F151805A@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0xcffa	-	1
postfix/cleanup 720A7864ABE : message-id = <20060414054003.720A7864ABE@#56#.#207#>	-	1
postfix/cleanup 631CAF200A7 : message-id = <20060709131746.631CAF200A7@#56#.#207#>	-	1
crond (root) CMD (/apps/breakfix-testing/get_F10_data.sh)	-	5
kernel MOSAL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c[126] : dump <*> <*> <*>	-	2
kernel MOSAL(1) : file_pgoff = 0x14657	-	5
chassis_mgr.x [INFO] : sensor 1/1 is back within a normal operating range	-	1
kernel MOSAL(1) : file_pgoff = 0x1135f	-	3
postfix/cleanup A5612F200A2 : message-id = <20060708071245.A5612F200A2@#56#.#207#>	-	1
crond <*> : <*> returning <*> <*>	-	4663
kernel MOSAL(1) : file_pgoff = 0x19435	-	1
kernel MOSAL(1) : file_pgoff = 0x2d1a6	-	1
postfix/cleanup 11077AC4078 : message-id = <20060630200728.11077AC4078@tbird-#2124#>	-	1
postfix/cleanup 367D4F200A9 : message-id = <20060417090702.367D4F200A9@#56#.#207#>	-	1
ib_sm.x [ib_sm_discovery.c : <*> : switch lid change , node - GUID = <*> , port = <*> , neighbor (nil) , changing lid from <*> , back to original <*>	-	350
kernel MOSAL(1) : file_pgoff = 0x29ebf	-	1
sendmail <*> : SYSERR(root) : queueup : cannot create queue file <*> , euid = <*> , fd = -1 , fp = 0x0 : Read-only file system	-	6
pbs_mom cannot lock '/var/spool/pbs/mom_priv/mom.lock' - another mom running	-	51
kernel pan_ips : error -- cmd scsi , 0x23a1 (pan_sock : timeout) , err_loc = <*> , rhel_4_amd64/release/build/panfs/ips/pan_ips_cmd.c : <*>	-	419
ib_sm [ib_sm_discovery.c : 1050] : _ib_smDiscoverPort(port = 12)	-	31
kernel MOSAL(1) : file_pgoff = 0xa12a	-	1
kernel netconsole : interface eth0	-	28
postfix/cleanup 2E3105189E8 : message-id = <20060222234342.2E3105189E8@tbird-#206#>	-	1
postfix/cleanup 559E9F200A6 : message-id = <20060704113746.559E9F200A6@#56#.#207#>	-	1
postfix/cleanup CCEE8F20126 : message-id = <20060404131052.CCEE8F20126@#56#.#207#>	-	1
LustreError <*> : <*> : (socklnd_cb.c : <*> : ksocknal_txlist_done()) Deleting packet type <*> len <*> <*> @tcp-> <*> @vib	-	3
postfix/cleanup CF50AF200A0 : message-id = <20060412044002.CF50AF200A0@#56#.#207#>	-	1
kernel MOSAL(1) : <*> : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c : <*> : region not in process's address space. va = <*> size = <*>	-	3314
kernel MOSAL(1) : file_pgoff = 0x2d6ea	-	2
kernel <ffffffff802a45e8>{alloc_skb+65} <ffffffff802c9f4d>{tcp_sendmsg+363}	-	3
kernel MOSAL(1) : file_pgoff = 0x13116	-	1
UTC <*> : CP %SEC-5-LOGIN_SUCCESS : Login successful for user admin on line <*> <*> <*> <*>	-	2
kernel MOSAL(1) : file_pgoff = 0x1cbcf	-	1
ntpd ntpd shutdown succeeded	-	3114
kernel MOSAL(1) : file_pgoff = 0x1129a	-	1
postfix/cleanup 083DCF200A3 : message-id = <20060704162805.083DCF200A3@#56#.#207#>	-	1
postfix/cleanup D27BBF200A2 : message-id = <20060617072749.D27BBF200A2@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2ced0	-	2
kernel cpu <*> cold : ead_launch+228}	-	1
kernel MOSAL(1) : file_pgoff = 0x1ab48	-	1
kernel MOSAL(1) : file_pgoff = 0x12dea	-	1
pam_limits process_limit : processing soft nproc <*> for DEFAULT	-	14
smokeping FPing : probing <*> targets with step <*> s and offset <*> s.	-	4
postfix/cleanup 5FF5E864ABE : message-id = <20060415125246.5FF5E864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d486	-	8
ib_sm.x [ib_sm_discovery.c : <*> : Failed discover node test , node <*> , port_num = <*> , error code <*>	-	72037
postfix/cleanup 7C0A35186DF : message-id = <20051112011504.7C0A35186DF@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x8173	-	1
Intel E7520/7320/7525 detected.<6>pci_hotplug <*> <*> PCI Hot Plug PCI Core version : 0.5	-	2
postfix/cleanup 04C7DF20132 : message-id = <20060409145804.04C7DF20132@#56#.#207#>	-	1
kernel <ffffffff802c519a>{ip_finish_output+356} <ffffffff802c55d6>{ip_queue_xmit+951}	-	1
postfix/cleanup 723BCF200A7 : message-id = <20060523102247.723BCF200A7@#56#.#207#>	-	1
ib_sm [ib_sm_discovery.c : 1050] : _ib_smDiscoverPort(port = 13)	-	10
insmod /lib/modules/2.4.21-37.ELsmp/kernel/drivers/block/floppy.o : init_module : No such device	-	1
kernel MOSAL(1) : file_pgoff = 0xbcf9	-	1
kernel MOSAL(1) : file_pgoff = 0x2cec9	-	1
kernel MOSAL(1) : file_pgoff = 0x2d612	-	1
kernel MOSAL(1) : file_pgoff = 0x70d2	-	2
mount.panfs pan_kernel : expected release : <*> release is : <*> <*> <*>	-	338
postfix/cleanup 09CFFF20085 : message-id = <20060705224253.09CFFF20085@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0xdfea	-	1
kernel <ffffffff80187ea6>{fasync_helper+205} <ffffffff8018a4e9>{__posix_lock_file+1147}	-	1
dhcpd DHCPDISCOVER from <*> : <*> : <*> : <*> : <*> <*> ae via eth1	-	3
kernel sda : sda1 sda2 sda3 sda4 < sda5 sda6 >	-	4123
postfix/cleanup A9C55F20130 : message-id = <20060223110205.A9C55F20130@#56#.#207#>	-	1
smartd Device : /dev/sda , Temperature changed <*> Celsius to <*> Celsius since last report	-	59605
kernel MOSAL(1) : file_pgoff = 0x1cb40	-	2
ib_sm [ib_sm.c : 945] : Terminating heartbeat event loop	-	2
postfix/cleanup 182ED519438 : message-id = <20051117234507.182ED519438@tbird-#206#>	-	1
postfix/cleanup 155145180FA : message-id = <20051212185731.155145180FA@tbird-#206#>	-	1
kernel dcdipm : disagrees about version of symbol struct_module	-	82
shpchp acpi_pciehprm : <*> OSHP fails = 0x5	-	14
moab MUser[1792] 0.01	-	2
postfix/cleanup 0C79DF20131 : message-id = <20060610131709.0C79DF20131@#56#.#207#>	-	1
postfix/cleanup D304AF200A8 : message-id = <20060427023646.CDCCEF20126@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1d71d	-	1
kernel MOSAL(1) : file_pgoff = 0x1b3e9	-	1
postfix/cleanup 31EC0F20126 : message-id = <20060404154525.31EC0F20126@#56#.#207#>	-	1
postfix/cleanup A98E3518972 : message-id = <20060227235715.A98E3518972@tbird-#206#>	-	1
postfix/cleanup 4A0AA518112 : message-id = <20051216123000.4A0AA518112@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x166d7	-	3
kernel MOSAL(1) : file_pgoff = 0x8542	-	1
kernel MOSAL(1) : file_pgoff = 0xfde7	-	2
distccd connection from <*> <*> <*>	-	184
postfix/cleanup D1F77F200A9 : message-id = <20060417104902.D1F77F200A9@#56#.#207#>	-	1
postfix/cleanup D019EF20085 : message-id = <20060705142807.D019EF20085@#56#.#207#>	-	1
kernel netconsole : network logging started	-	28
postfix/cleanup 058CC518AFF : message-id = <20060505083308.058CC518AFF@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d637	-	5
postfix/cleanup 5345CF200A2 : message-id = <20060618224816.5345CF200A2@#56#.#207#>	-	1
ib_sm.x [ib_sm_bringup.c : <*> : Failed to bring port to ACTIVE for node = <*> , port = <*> , mad status 0x1c	-	37
postfix/cleanup 54224518AE1 : message-id = <20060501030435.54224518AE1@tbird-#206#>	-	1
kernel CPU : Hyper-Threading is disabled	-	12472
kernel MOSAL(1) : file_pgoff = 0x2d688	-	4
postfix/cleanup 0E299F200A0 : message-id = <20060412010103.0E299F200A0@#56#.#207#>	-	1
PBS_Server Connection refused (111) in contact_sched , Could not contact Scheduler - port <*>	-	22
kernel MOSAL(1) : file_pgoff = 0x12bf3	-	1
kernel LustreError : <*> : <*> : (events.c : <*> : request_out_callback()) @@@ type <*> , status <*> <*> <*> <*> : <*> lens <*> ref <*> fl Complete : <*> rc <*>	-	303
kernel <ffffffff8015f550>{kmem_getpagestch <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x16e7f	-	1
postfix/cleanup 4A4BEF200A2 : message-id = <20060618015253.4A4BEF200A2@#56#.#207#>	-	1
login <*> : flag : warn	-	1
exportfs eadmin1 : /install/speconf	-	2
postfix/cleanup 350CDAC4078 : message-id = <20060629192300.350CDAC4078@tbird-#2124#>	-	1
sshd(pam_unix) check pass ; user unknown	-	11
kernel EXT3-fs error (device <*> in <*> : Journal has aborted	EXT_FS	166
kernel sshd S <*> <*> <*> <*> <*> <*> (NOTLB)	-	1
kernel Free swap : <*> <*> hot : low <*> , high <*> , batch <*>	-	2
kernel printk : <*> messages suppressed.	-	6
crond (root) CMD (/home/#57#/Check_Admins_ping.sh 2>&1 > /dev/null)	-	4
postfix/cleanup 381A5AC40A6 : message-id = <20060430172540.381A5AC40A6@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x12734	-	1
modprobe WARNING : Error inserting mdc (/lib/modules/2.6.9-34.EL_lustre. <*> smp/kernel/fs/lustre/mdc.ko) : Unknown symbol in module , or unknown parameter (see dmesg)	-	1
kernel MOSAL(1) : file_pgoff = 0x1efd5	-	1
kernel MOSAL(1) : file_pgoff = 0xf302	-	1
kernel MOSAL(1) : file_pgoff = 0xa3ab	-	1
sshd debug2 : notify_done : reading	-	1
postfix/cleanup 255AFF2012C : message-id = <20060615194251.255AFF2012C@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x15f96	-	17
postfix/cleanup 24EE813184C : message-id = <20060118180444.24EE813184C@#73#>	-	1
postfix/cleanup 9F1B9518C09 : message-id = <20060331065451.9F1B9518C09@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x11265	-	1
postfix/cleanup 9E7DAAC40A3 : message-id = <20060421221612.9E7DAAC40A3@tbird-#2124#>	-	1
sudo #53# : TTY = pts/10 ; PWD = /home/#53#/tbird/torque/mom_segfault-2.0.0p7/tbird-mine ; USER = root ; COMMAND = /usr/bin/ssh tbird-admin2 runjob -x <*>	-	2
kernel Node <*> Normal : <*> <*> <*> <*> <*> <*> <*> : panfs : <*>	-	4
postfix/cleanup 0360CF20132 : message-id = <20060411042202.0360CF20132@#56#.#207#>	-	1
postfix/cleanup 9BBFD518BCB : message-id = <20060228000320.9BBFD518BCB@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x11f5b	-	1
postfix/cleanup 32B35518AFF : message-id = <20060505221251.32B35518AFF@tbird-#206#>	-	1
postfix/cleanup E6B8DF200A2 : message-id = <20060628082752.E6B8DF200A2@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x141eb	-	4
kernel MOSAL(1) : file_pgoff = 0x8b1a	-	1
kernel 00000000a021f160 00000101af601800	-	1
kernel MOSAL(1) : file_pgoff = 0x2d5bb	-	2
kernel MOSAL(1) : file_pgoff = 0xa511	-	6
kernel MOSAL(1) : file_pgoff = 0xde68	-	2
