ComponentEventTemplate	Label	Count
kernel MOSAL(1) : file_pgoff = 0x8a9d	-	2
postfix/cleanup 18273AC4074 : message-id = <20060430180418.18273AC4074@tbird-#2124#>	-	1
ib_mgr.x [INFO] : IB MGR started configuring SM (0xfe80000000000000)	-	68
kernel MOSAL(1) : file_pgoff = 0xa0e1	-	1
kernel MOSAL(1) : file_pgoff = 0x1a6ec	-	1
kernel MOSAL(4) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mlock.c[1226] : MOSAL_mlock_iobuf : Failed (MT_EAGAIN) priv_mosal_mlock for addr = 0x8790_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c[126] : dump iobuf at 00000101aa540100 :	-	1
kernel MOSAL(1) : file_pgoff = 0x2cf83	-	1
postfix/cleanup C69E3F20132 : message-id = <20060409232802.C69E3F20132@#56#.#207#>	-	1
kernel 00000101bd155e78 <*> ffffffffa025a250 <*>	-	1
kernel MOSAL(1) : file_pgoff = 0xf958	-	2
sshd <*> : error resolving user name <*> to uid/gid pair	-	5
kernel Node <*> DMA : 0*4kB 3*8kB 2*16kB 4*32kB 2*64kB 4*128kB 1*256kB 1*512kB 0*1024kB 1*2048kB 2*4096kB = <*> DMA per-cpu :	-	1
postfix/cleanup 65B07AC4147 : message-id = <20060408000138.65B07AC4147@tbird-#2124#>	-	1
postfix/cleanup 367BC518A28 : message-id = <20060228000225.367BC518A28@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0xded5	-	8
kernel VIPKL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/vip/obj_hostobuf = <*>	-	1
kernel 00000101b9b49e88 <*> 000000351a0c51c0 ffffff000000007d	-	1
kernel MOSAL(1) : file_pgoff = 0x7897	-	1
postfix/cleanup 52417864ABE : message-id = <20060703185806.52417864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x9b55	-	1
postfix/cleanup <*> : message-id = <20060227235739.61484518975@tbird-#206#>	-	1
ntpd frequency initialized <*> from /var/lib/ntp/drift	-	2
kernel MOSAL(1) : file_pgoff = 0x40704	-	1
"distccd (dcc_setup_real_log) ERROR : failed to open "" /var/log/distccd.log "" : No such file or directory"	-	188
postfix/cleanup 877F1F200A5 : message-id = <20060421105502.877F1F200A5@#56#.#207#>	-	1
postfix/cleanup 5CCEA5181D1 : message-id = <20060120204813.5CCEA5181D1@tbird-#206#>	-	1
postfix/cleanup DECA9F200A7 : message-id = <20060709183258.DECA9F200A7@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0xe2fc	-	2
postfix/cleanup 46683F200A9 : message-id = <20060629191309.46683F200A9@#56#.#207#>	-	1
pbs_server stream_eof , connection to End of File dropped <*> setting node state to down	-	912
sshd debug1 : PAM : reinitializing credentials	-	1
postfix/cleanup E754151897D : message-id = <20060301092858.E754151897D@tbird-#206#>	-	1
postfix/cleanup 648D8F20131 : message-id = <20060406224921.648D8F20131@#56#.#207#>	-	1
dhcpd DHCPREQUEST for <*> ( <*> ) from <*> : <*> : <*> : e5 : be : aa via eth1	-	4
postfix/cleanup CD58FF200A2 : message-id = <20060617214250.CD58FF200A2@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x10a88	-	1
postfix/cleanup 1675CF20131 : message-id = <20060619095746.1675CF20131@#56#.#207#>	-	1
smartd Device : /dev/sda , initial Temperature is <*> Celsius	-	3652
kernel MOSAL(1) : file_pgoff = 0x16646	-	1
dhcpd /etc/dhcpd.conf line <*> : c63 exceeds max (255) for precision.	-	1
kernel MOSAL(1) : file_pgoff = 0xdf91	-	1
postfix/cleanup 2E5A4AC408E : message-id = <20060430172314.2E5A4AC408E@tbird-#2124#>	-	1
postfix <*> <*> <*> <*> <*> failed	-	62
postfix/cleanup 32517518C21 : message-id = <20051112184509.32517518C21@tbird-#206#>	-	1
postfix/cleanup 426EC864ABE : message-id = <20060630201755.426EC864ABE@#56#.#207#>	-	1
sudo #57# : (command continued) ^an193$|^an194$|^an195$|^an196$|^an197$|^an198$|^an199$|^an200$|^an201$|^an202$|^an203$|^an204$|^an205$|^an206$|^an207$|^an208$|^an209$|^an210$|^an211$|^an212$|^an213$|^an214$|^an215$|^an216$|^an217$|^an218$|^an219$|^an220$|^an221$|^an222$|^an223$|^an224$|^an225$|^an226$|^an227$|^an228$|^an229$|^an230$|^an231$|^an232$|^an233$|^an234$|^an235$|^an236$|^an237$|^an238$|^an239$|^an240$|^an241$|^an242$|^an243$|^an244$|^an245$|^an246$|^an247$|^an248$|^an249$|^an250$|^an251$|^an252$|^an253$|^an254$|^an255$|^an256$|^an257$|^an258$|^an259$|^an260$|^an261$|^an262$|^an263$|^an264$|^an265$|^an266$|^an267$|^an268$|^an269$|^an270$|^an271$|^an272$|^an273$|^an274$|^an275$|^an276$|^an277$|^an278$|^an279$|^an280$|^an281$|^an282$|^an283$|^an284$|^an285$|^an286$|^an287$|^an288$|^an289$|^an290$|^an291$|^an292$|^an293$|^an294$|^an295$|^an296$|^an297$|^an298$|^an299$|^an300$|^an301$|^an302$|^an303$|^an304$|^an305$|^an306$|^an307$|^an308$|	-	1
ntpd kernel time sync disabled <*>	-	5854
ntpd ntpd shutdown succeeded	-	3314
pbs_mom find_node , stream id <*> does not match <*> to node <*> (stream = <*> node = <*> )	-	1
kernel MOSAL(1) : file_pgoff = 0xdd18	-	1
kernel Node <*> HighMem free : 0kB min : 128kB l>{ : panfs : pan_sys_thread_launch+0}	-	1
kernel MOSAL(1) : file_pgoff = 0x2d5bd	-	1
postfix/cleanup 91B0BF20131 : message-id = <20060626220749.91B0BF20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d735	-	8
sendmail <*> <*> <*>	-	205
sudo #57# : TTY = <*> ; PWD = /home/#57# ; USER = root ; COMMAND = /usr/bin/ssh <*> ps auwwwx	-	2
kernel MOSAL(1) : file_pgoff = 0x2d675	-	6
kernel MOSAL(1) : file_pgoff = 0x1d525	-	1
ib_sm.working [INFO] : bringup elapsed time = 821736usec	-	1
postfix/cleanup 5C8A5F200A6 : message-id = <20060625002756.5C8A5F200A6@#56#.#207#>	-	1
kernel MOSAL(1) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c[126] : dump iobuf at7A000	-	1
ib_sm [ib_sm_sweep.c : 144] : A new IB node <*> : <*> : 6a : <*> : <*> : <*> : <*> : fc was discovered and assigned LID <*>	-	1
/usr/sbin/gmetad poll() timeout	-	29
kernel MOSAL(1) : file_pgoff = 0x2d5de	-	2
kernel MOSAL(1) : file_pgoff = 0x16f37	-	3
kernel MOSAL(1) : file_pgoff = 0x77c4	-	1
kernel MOSAL(1) : file_pgoff = 0x1cc63	-	2
ib_sm [ib_sm_discovery.c : 1050] : _ib_smDiscoverPort(port = 2)	-	22
kernel MOSAL(1) : file_pgoff = 0x2cf1e	-	1
kernel MOSAL(1) : file_pgoff = 0x2cf7b	-	1
crond (#26#) CMD (/home/#26#/cricket-1.0.5/collect-subtrees 2>&1 > /dev/null)	-	1260
postfix/cleanup 2B1EC518C1B : message-id = <20060331065455.2B1EC518C1B@tbird-#206#>	-	1
kernel ACPI : HPET id : 0xffffffff base : 0xfed00000	-	4415
kernel MOSAL(1) : file_pgoff = 0x110a5	-	1
dhcpd DHCPREQUEST for <*> ( <*> ) from <*> : <*> : <*> : e4 : ac : cd via eth1 : unknown lease <*> .	-	9
ib_sm.x [ib_sm_bringup.c : <*> : Failed to bring port to ACTIVE for node = <*> , port = <*> , mad status 0x1c	-	37
kernel MOSAL(1) : file_pgoff = 0x837c	-	1
postfix/cleanup 37F4AF20132 : message-id = <20060409144603.37F4AF20132@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x827c	-	1
kernel <ffffffff80131c49>{wake_up_new_task+553} <ffffffff80132f56>{default_wake_function+0}	-	1
postfix/cleanup 22110F200A9 : message-id = <20060423033403.22110F200A9@#56#.#207#>	-	1
postfix/cleanup 7ED715181D1 : message-id = <20060120125221.7ED715181D1@tbird-#206#>	-	1
CROND (#1867#) CMD (* /home/#1867#/SCRIPTS/counters.cron1)	-	1
kernel MOSAL(1) : file_pgoff = 0x13bb1	-	1
postfix/cleanup 0DFC2F20131 : message-id = <20060428142853.0DFC2F20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x117cf	-	1
kernel MOSAL(1) : file_pgoff = 0x1a6a2	-	2
pbs_server stream_eof , connection to Premature end of message dropped <*> setting node state to down	-	65
notifier.x [INFO] : accepted new conn to listening fd <*> fd = <*>	-	49
postfix/cleanup 42C66AC407F : message-id = <20060502160629.42C66AC407F@tbird-#2124#>	-	1
postfix [ OK	-	19
kernel MOSAL(1) : file_pgoff = 0xd797	-	1
postfix/cleanup 85C16F200A3 : message-id = <20060413070103.85C16F200A3@#56#.#207#>	-	1
crond (root) CMD (/apps/contrib/install/update-tsqe-from-spirit.sh 2>&1 > /dev/null)	-	9
scsi <*> <*> scanning scsi channel <*> <*> for logical <*>	-	1
kernel MOSAL(1) : file_pgoff = 0xc789	-	2
kernel MOSAL(1) : file_pgoff = 0x1ccd2	-	6
kernel MOSAL(1) : file_pgoff = 0xf961	-	1
kernel netdump : remote IP <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x13a19	-	1
kernel MOSAL(1) : file_pgoff = 0x1a2e2	-	1
postfix/cleanup A7EF15181D1 : message-id = <20060120172531.A7EF15181D1@tbird-#206#>	-	1
postfix/cleanup 4CF7AF200A5 : message-id = <20060421182803.4CF7AF200A5@#56#.#207#>	-	1
kernel panfs mount : error : got version [rhel_4_amd64/release <*> , wanted version [rhel_4_amd64/release <*>	-	72
kernel MOSAL(1) : file_pgoff = 0x10ca9	-	14
kernel Kernel command line : ro root = LABEL = <*> tsc console = tty0 console = ttyS0 , <*> rhgb quiet	-	3614
kernel pan_ips : error -- cmd_destroy : destroying aborted (rc = 0x1d7c (IPS : shutting down IPS subsystem)) command <*> (0 : <*> : <*>	-	48
postfix/cleanup F397A518CCB : message-id = <20060616075032.F397A518CCB@tbird-#206#>	-	1
postfix/cleanup 32F8A518081 : message-id = <20051124181713.7B77951807D@tbird-#206#>	-	1
postfix/cleanup F08DDF20131 : message-id = <20060626155250.F08DDF20131@#56#.#207#>	-	1
postfix/cleanup 6BB5BF200A3 : message-id = <20060415162250.6BB5BF200A3@#56#.#207#>	-	1
kernel mptscsih : ioc0 : >> Attempting task abort! (sc = <*>	-	2
kernel DMA zone : <*> pages , LIFO batch : <*>	-	4112
kernel Lustre : Removed LNI <*> @tcp	-	711
kernel MOSAL(1) : file_pgoff = 0x1a781	-	1
kernel MOSAL(1) : file_pgoff = 0x11c3a	-	1
kernel MOSAL(1) : file_pgoff = 0x101ff	-	1
kernel <ffffffffa04fcde8>{ : panfs : pan_rpc_cl_bind_to+104} <ffffffffa04ded40>{ : panfs : pan_rm_bindcache_realm_bindback : <*> unstable : <*> free : <*> slab : <*> mapped : <*> pagetables : <*>	-	1
ib_sm [ib_sm_sweep.c : 256] : An existing IB node GUID <*> : <*> : 6a : <*> : <*> : <*> : <*> : fc LID <*> was removed	-	1
kernel MOSAL(1) : file_pgoff = 0x2d488	-	3
postfix/cleanup BB69A518FB3 : message-id = <20051113184507.BB69A518FB3@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x11b22	-	1
kernel MOSAL(1) : file_pgoff = 0x2d4df	-	8
postfix/cleanup 7CE24518C99 : message-id = <20051113021507.7CE24518C99@tbird-#206#>	-	1
ib_sm [INFO] : Configuration caused by SM role change	-	5
ib_sm.x [INFO] : event loop conn local to <*> fd = <*>	-	55
kernel MOSAL(1) : file_pgoff = 0x1e248	-	3
kernel MOSAL(1) : file_pgoff = 0x115cc	-	2
kernel MOSAL(1) : file_pgoff = 0x9605	-	4
postfix/cleanup 6F4C9518A9C : message-id = <20060330190321.6F4C9518A9C@tbird-#206#>	-	1
postfix/cleanup 0D1BFF200E0 : message-id = <20060424033321.0D1BFF200E0@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d4b2	-	19
kernel MOSAL(1) : file_pgoff = 0x1d6ce	-	1
kernel LustreError : Host <*> was unreachable ; the network or that node may be down , or Lustre may be misconfigured.	-	155
kernel MOSAL(1) : file_pgoff = 0x2d463	-	2
kernel MOSAL(1) : file_pgoff = 0x9064	-	1
ib_sm [ib_sm.c : 321] : Starting heartbeat event loop	-	1
postfix/cleanup 284C1F20131 : message-id = <20060407021903.284C1F20131@#56#.#207#>	-	1
kernel <ffffffff802ccc6a>{tcp_close+17} <ffffffff802e8e33>{inet_release+77}	-	1
kernel MOSAL(1) : file_pgoff = 0x1ab6a	-	4
logger Kickstart : configure services	-	407
